Centroids of 10 clusters after 20 iterations for Euclidean Distance

Centroid 1 ->[0.11, 0.14, 0.34, 0.28, 0.39, 0.12, 0.22, 0.15, 0.15, 0.27, 0.11, 0.55, 0.1, 0.03, 0.04, 0.3, 0.29, 0.23, 1.75, 0.17, 0.99, 0.49, 0.16, 0.11, 0.47, 0.16, 0.08, 0.05, 0.04, 0.04, 0.04, 0.01, 0.04, 0.01, 0.05, 0.06, 0.15, 0.02, 0.03, 0.08, 0.02, 0.04, 0.03, 0.02, 0.11, 0.15, 0.01, 0.02, 0.14, 0.14, 0.02, 0.28, 0.12, 0.09, 7.23, 71.63, 364.41, 0.59]
Centroid 2 ->[0.14, 0.16, 0.36, 0.22, 0.29, 0.14, 0.08, 0.15, 0.4, 0.49, 0.11, 0.55, 0.13, 0.09, 0.16, 0.26, 0.13, 0.38, 1.48, 0.23, 0.99, 0.8, 0.17, 0.18, 0.4, 0.14, 0.03, 0.02, 0.01, 0.02, 0.02, 0.0, 0.09, 0.0, 0.11, 0.03, 0.13, 0.0, 0.02, 0.03, 0.01, 0.03, 0.01, 0.01, 0.04, 0.04, 0.01, 0.03, 0.05, 0.12, 0.04, 0.32, 0.16, 0.1, 6.9, 130.5, 1074.3, 0.68]
Centroid 3 ->[0.2, 0.17, 0.54, 0.0, 0.48, 0.28, 0.15, 0.17, 0.42, 0.43, 0.18, 0.57, 0.21, 0.25, 0.47, 0.31, 0.2, 0.42, 1.72, 0.43, 0.9, 0.23, 0.42, 0.23, 0.18, 0.05, 0.01, 0.0, 0.0, 0.01, 0.0, 0.0, 0.06, 0.0, 0.01, 0.05, 0.09, 0.0, 0.01, 0.04, 0.01, 0.0, 0.04, 0.01, 0.05, 0.05, 0.0, 0.02, 0.02, 0.09, 0.01, 0.35, 0.23, 0.06, 54.57, 487.7, 1741.52, 0.83]
Centroid 4 ->[0.09, 0.15, 0.34, 0.13, 0.43, 0.14, 0.19, 0.13, 0.07, 0.27, 0.07, 0.56, 0.13, 0.03, 0.04, 0.27, 0.29, 0.25, 1.66, 0.12, 1.0, 0.11, 0.16, 0.09, 0.5, 0.24, 0.13, 0.11, 0.07, 0.1, 0.05, 0.04, 0.11, 0.04, 0.09, 0.09, 0.18, 0.01, 0.06, 0.08, 0.04, 0.04, 0.06, 0.04, 0.15, 0.11, 0.0, 0.03, 0.04, 0.15, 0.02, 0.28, 0.1, 0.04, 3.84, 43.29, 205.37, 0.57]
Centroid 5 ->[0.13, 0.09, 0.25, 0.0, 0.23, 0.05, 0.12, 0.13, 0.03, 0.22, 0.07, 0.58, 0.09, 0.04, 0.03, 0.2, 0.11, 0.18, 1.61, 0.02, 0.88, 0.0, 0.06, 0.07, 0.66, 0.35, 0.2, 0.24, 0.09, 0.15, 0.07, 0.05, 0.14, 0.05, 0.16, 0.12, 0.21, 0.01, 0.1, 0.05, 0.03, 0.11, 0.08, 0.09, 0.28, 0.24, 0.0, 0.03, 0.02, 0.16, 0.01, 0.27, 0.05, 0.05, 2.65, 15.47, 69.19, 0.35]
Centroid 6 ->[0.11, 0.09, 0.27, 0.0, 0.43, 0.14, 0.15, 0.11, 0.04, 0.21, 0.05, 0.51, 0.08, 0.02, 0.05, 0.36, 0.16, 0.19, 1.75, 0.07, 0.96, 0.03, 0.12, 0.09, 0.52, 0.34, 0.21, 0.18, 0.08, 0.11, 0.06, 0.06, 0.08, 0.06, 0.11, 0.12, 0.13, 0.0, 0.1, 0.06, 0.04, 0.04, 0.08, 0.06, 0.26, 0.17, 0.01, 0.02, 0.02, 0.14, 0.02, 0.25, 0.07, 0.06, 2.91, 23.4, 120.06, 0.48]
Centroid 7 ->[0.08, 0.08, 0.25, 0.0, 0.23, 0.06, 0.09, 0.06, 0.03, 0.2, 0.03, 0.6, 0.08, 0.04, 0.01, 0.22, 0.06, 0.13, 1.77, 0.01, 0.55, 0.0, 0.04, 0.07, 1.04, 0.48, 0.43, 0.26, 0.26, 0.26, 0.21, 0.16, 0.09, 0.16, 0.25, 0.23, 0.18, 0.01, 0.17, 0.17, 0.08, 0.22, 0.04, 0.13, 0.43, 0.16, 0.0, 0.04, 0.02, 0.16, 0.01, 0.2, 0.04, 0.02, 2.06, 8.69, 35.45, 0.19]
Centroid 8 ->[0.16, 0.18, 0.39, 0.18, 0.32, 0.13, 0.09, 0.16, 0.26, 0.41, 0.09, 0.78, 0.12, 0.12, 0.09, 0.26, 0.23, 0.13, 1.55, 0.14, 1.21, 0.22, 0.14, 0.17, 0.68, 0.17, 0.02, 0.02, 0.01, 0.02, 0.01, 0.0, 0.09, 0.0, 0.02, 0.06, 0.13, 0.01, 0.02, 0.02, 0.04, 0.08, 0.02, 0.01, 0.06, 0.12, 0.01, 0.02, 0.08, 0.16, 0.02, 0.52, 0.15, 0.06, 8.0, 108.92, 623.02, 0.61]
Centroid 9 ->[0.04, 0.66, 0.16, 0.0, 0.23, 0.03, 0.02, 0.04, 0.01, 0.11, 0.0, 0.37, 0.04, 0.06, 0.0, 0.17, 0.01, 0.1, 1.58, 0.03, 0.41, 0.0, 0.0, 0.05, 0.21, 0.13, 3.44, 0.01, 0.13, 0.02, 0.02, 0.0, 0.1, 0.0, 0.03, 0.01, 0.02, 0.04, 0.06, 0.0, 0.06, 0.34, 0.02, 0.15, 0.66, 0.3, 0.01, 0.05, 0.02, 0.08, 0.02, 0.21, 0.0, 0.0, 1.41, 2.92, 10.35, 0.06]
Centroid 10 ->[0.29, 0.13, 0.27, 0.08, 0.07, 0.11, 0.02, 0.13, 0.21, 0.38, 0.14, 0.58, 0.32, 0.59, 0.03, 0.15, 0.26, 0.12, 1.75, 0.04, 0.81, 0.21, 0.42, 0.27, 0.09, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28, 0.0, 0.0, 0.03, 0.16, 0.0, 0.01, 0.02, 0.02, 0.01, 0.0, 0.01, 0.04, 0.05, 0.01, 0.05, 0.07, 0.3, 0.01, 0.26, 0.33, 0.12, 10.45, 388.56, 4058.56, 0.77]
